,address,coordinates
2114,"город Москва, Ленинский проспект, дом 65, корпус 1",37.55487 55.692232
2115,"город Москва, Ленинский проспект, дом 4, строение 1",37.609461 55.728287
2116,"город Москва, Ленинский проспект, дом 1/2, корпус 1",37.609901 55.727136
2117,"город Москва, Ленинский проспект, дом 1/2, корпус 1",37.609901 55.727136
2121,"город Москва, Ленинский проспект, дом 9",37.605499 55.72416
2123,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2124,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2125,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2126,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2127,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2128,"город Москва, проспект Вернадского, дом 29",37.516449 55.681712
2130,"город Москва, Ленинский проспект, дом 8, корпус 23",37.601304 55.724672
2133,"город Москва, Ленинский проспект, дом 2",37.611392 55.729524
2134,"город Москва, Ленинский проспект, дом 2",37.611392 55.729524
2135,"город Москва, Ленинский проспект, дом 2",37.611392 55.729524
2463,"город Москва, Ленинградский проспект, дом 63",37.519755 55.802654
2475,"город Москва, Варшавское шоссе, дом 38",37.623986 55.678047
2478,"город Москва, Варшавское шоссе, дом 116",37.617195 55.633922
2480,"город Москва, Варшавское шоссе, дом 34",37.623483 55.680311
2482,"город Москва, Варшавское шоссе, дом 67",37.621579 55.663918
2484,"город Москва, Варшавское шоссе, дом 129",37.614096 55.614378
2485,"город Москва, Варшавское шоссе, дом 83, строение 1",37.62051 55.655818
2486,"город Москва, Варшавское шоссе, дом 125, корпус 3",37.619513 55.622411
2523,"город Москва, Профсоюзная улица, дом 128, корпус 2",37.515281 55.630441
2524,"город Москва, Профсоюзная улица, дом 128, корпус 3",37.514715 55.630609
2525,"город Москва, Профсоюзная улица, дом 152, корпус 2, строение 2",37.506253 55.622827
2536,"город Москва, Профсоюзная улица, дом 83А",37.529699 55.645258
2537,"город Москва, Профсоюзная улица, дом 4",37.571857 55.68704
2538,"город Москва, Профсоюзная улица, дом 12",37.570123 55.685432
2552,"город Москва, Профсоюзная улица, дом 103А",37.52616 55.635528
2921,"город Москва, проспект Вернадского, дом 82, строение 1",37.47704 55.667259
2922,"город Москва, проспект Вернадского, дом 101, корпус 1",37.488556 55.6657
2923,"город Москва, проспект Вернадского, дом 53",37.502283 55.67325
2924,"город Москва, проспект Вернадского, дом 76, корпус В",37.48817 55.672077
2931,"город Москва, проспект Вернадского, дом 39",37.506029 55.675585
3074,"город Москва, Ленинский проспект, дом 6, строение 1",37.6069 55.727136
3075,"город Москва, Ленинский проспект, дом 6, строение 1",37.6069 55.727136
3076,"город Москва, Ленинский проспект, дом 6, строение 1",37.6069 55.727136
3077,"город Москва, Ленинский проспект, дом 6, строение 1",37.6069 55.727136
3078,"город Москва, Ленинский проспект, дом 6, строение 2",37.608077 55.72746
3080,"город Москва, Ленинский проспект, дом 42, корпус 4",37.568605 55.704286
3081,"город Москва, Ленинский проспект, дом 42, корпус 1-2-3",37.566701 55.702551
3088,"город Москва, Ленинский проспект, дом 75А",37.54427 55.686203
3110,"город Москва, Профсоюзная улица, дом 27, корпус 1",37.559541 55.6739
3111,"город Москва, Профсоюзная улица, дом 27, корпус 1",37.559541 55.6739
3112,"город Москва, Профсоюзная улица, дом 33, строение 1",37.557233 55.67194
3413,"город Москва, Ленинский проспект, дом 158",37.483095 55.651186
3414,"город Москва, Ленинский проспект, дом 158",37.483095 55.651186
3415,"город Москва, Ленинский проспект, дом 158",37.483095 55.651186
3416,"город Москва, Ленинский проспект, дом 158",37.483095 55.651186
3417,"город Москва, Ленинский проспект, дом 158",37.483095 55.651186
3418,"город Москва, Ленинский проспект, дом 158",37.483095 55.651186
3424,"город Москва, проспект Вернадского, дом 86, строение 2",37.476088 55.660963
3425,"город Москва, проспект Вернадского, дом 86, строение 2",37.476088 55.660963
3426,"город Москва, проспект Вернадского, дом 78, строение 8",37.479088 55.672372
3431,"город Москва, проспект Вернадского, дом 62",37.495455 55.675753
3432,"город Москва, проспект Вернадского, дом 105",37.485601 55.662882
3452,"город Москва, Ленинградский проспект, дом 39, строение 41",37.53826 55.794684
3453,"город Москва, Ленинградский проспект, дом 37, корпус 5",37.542833 55.794629
3455,"город Москва, Ленинградский проспект, дом 55",37.525612 55.801369
3459,"город Москва, Ленинградский проспект, дом 47, строение 3",37.531199 55.79893
3467,"город Москва, Ленинградский проспект, дом 24А",37.574714 55.783554
3468,"город Москва, Ленинградский проспект, дом 24А",37.574714 55.783554
3469,"город Москва, Ленинградский проспект, дом 31, строение 3",37.560727 55.784106
3470,"город Москва, Ленинградский проспект, дом 47, строение 1",37.530822 55.7998
3471,"город Москва, Ленинградский проспект, дом 39, строение 30",37.539967 55.793779
3472,"город Москва, Ленинградский проспект, дом 47, строение 2",37.532592 55.799036
3473,"город Москва, Ленинградский проспект, дом 47, строение 2",37.532592 55.799036
3474,"город Москва, Ленинградский проспект, дом 47, строение 2",37.532592 55.799036
3475,"город Москва, Ленинградский проспект, дом 47, строение 2",37.532592 55.799036
3476,"город Москва, Ленинградский проспект, дом 47, строение 2",37.532592 55.799036
3478,"город Москва, Ленинградский проспект, дом 39, строение 1",37.539868 55.790555
3480,"город Москва, Ленинградский проспект, дом 64",37.529151 55.802341
3481,"город Москва, Ленинградский проспект, дом 64",37.529151 55.802341
3482,"город Москва, Ленинградский проспект, дом 64",37.529151 55.802341
3483,"город Москва, Ленинградский проспект, дом 17",37.57077 55.782
3489,"город Москва, проспект Вернадского, дом 127, корпус 3",37.482349 55.654112
3491,"город Москва, Ленинградский проспект, дом 31, строение 9",37.562137 55.785387
3492,"город Москва, Ленинградский проспект, дом 32/2",37.569441 55.784622
3493,"город Москва, Ленинградский проспект, дом 32/2",37.569441 55.784622
3495,"город Москва, Ленинградский проспект, дом 30, строение 1",37.570231 55.784207
3496,"город Москва, Ленинградский проспект, дом 23",37.569216 55.783165
3497,"город Москва, Ленинградский проспект, дом 23",37.569216 55.783165
3498,"город Москва, Ленинградский проспект, дом 22",37.574983 55.781975
3499,"город Москва, Ленинградский проспект, дом 9Б, строение 1",37.574624 55.780507
4033,"город Москва, Каширское шоссе, дом 55, корпус 7",37.697478 55.639801
4034,"город Москва, Каширское шоссе, дом 55, корпус 7",37.697478 55.639801
4071,"город Москва, Каширское шоссе, дом 40, корпус 2",37.661725 55.648946
4086,"город Москва, Каширское шоссе, дом 80",37.709093 55.624505
4088,"город Москва, Каширское шоссе, дом 51, корпус 3",37.690713 55.640462
4091,"город Москва, Варшавское шоссе, дом 45",37.625289 55.679945
4094,"город Москва, Каширское шоссе, дом 82А",37.70841 55.624927
4095,"город Москва, Каширское шоссе, дом 96, корпус 1",37.7123 55.614922
4105,"город Москва, Каширское шоссе, дом 24",37.643076 55.656509
4110,"город Москва, Каширское шоссе, дом 31",37.664384 55.649865
4112,"город Москва, Варшавское шоссе, дом 39",37.624085 55.684498
4113,"город Москва, Каширское шоссе, дом 24, строение 3",37.646696 55.654929
4114,"город Москва, Варшавское шоссе, дом 39А",37.624022 55.686284
4198,"город Москва, проспект Мира, дом 196, строение 1",37.660314 55.837303
4258,"город Москва, проспект Мира, дом 7, строение 3",37.631272 55.775064
4269,"город Москва, проспект Мира, дом 42",37.63376 55.780689
4271,"город Москва, проспект Мира, дом 21, строение 2",37.632107 55.778679
4272,"город Москва, проспект Мира, дом 26, строение 1",37.633068 55.77796
4273,"город Москва, проспект Мира, дом 26, строение 1",37.633068 55.77796
4274,"город Москва, проспект Мира, дом 26, строение 1",37.633068 55.77796
4275,"город Москва, проспект Мира, дом 26, строение 1",37.633068 55.77796
4276,"город Москва, проспект Мира, дом 26, строение 1",37.633068 55.77796
4277,"город Москва, проспект Мира, дом 26, строение 1",37.633068 55.77796
4281,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4282,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4283,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4284,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4285,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4286,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4287,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4288,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4289,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4290,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4291,"город Москва, проспект Мира, дом 150",37.647037 55.822271
