Column1,Unnamed: 0,address,districts
182,2133,"город Москва, Ленинский проспект, дом 2","Россия, Москва, Центральный административный округ, район Якиманка"
183,2134,"город Москва, Ленинский проспект, дом 2","Россия, Москва, Центральный административный округ, район Якиманка"
184,2135,"город Москва, Ленинский проспект, дом 2","Россия, Москва, Центральный административный округ, район Якиманка"
185,2463,"город Москва, Ленинградский проспект, дом 63","Россия, Москва, Северный административный округ, район Сокол"
186,2475,"город Москва, Варшавское шоссе, дом 38","Россия, Москва, Южный административный округ, Нагорный район"
187,2478,"город Москва, Варшавское шоссе, дом 116","Россия, Москва, Южный административный округ, район Чертаново Северное"
188,2480,"город Москва, Варшавское шоссе, дом 34","Россия, Москва, Южный административный округ, Нагорный район"
189,2482,"город Москва, Варшавское шоссе, дом 67","Россия, Москва, Южный административный округ, Нагорный район"
190,2484,"город Москва, Варшавское шоссе, дом 129","Россия, Москва, Южный административный округ, район Чертаново Центральное"
191,2485,"город Москва, Варшавское шоссе, дом 83, строение 1","Россия, Москва, Южный административный округ, Нагорный район"
192,2486,"город Москва, Варшавское шоссе, дом 125, корпус 3","Россия, Москва, Южный административный округ, район Чертаново Северное"
193,2523,"город Москва, Профсоюзная улица, дом 128, корпус 2","Россия, Москва, Юго-Западный административный округ, район Тёплый Стан, 1-4-й микрорайон"
194,2524,"город Москва, Профсоюзная улица, дом 128, корпус 3","Россия, Москва, Юго-Западный административный округ, район Тёплый Стан, 1-4-й микрорайон"
195,2525,"город Москва, Профсоюзная улица, дом 152, корпус 2, строение 2","Россия, Москва, Юго-Западный административный округ, район Тёплый Стан, 1-4-й микрорайон"
196,2536,"город Москва, Профсоюзная улица, дом 83А","Россия, Москва, Юго-Западный административный округ, район Коньково, 2-й микрорайон"
197,2537,"город Москва, Профсоюзная улица, дом 4","Россия, Москва, Юго-Западный административный округ, Академический район"
198,2538,"город Москва, Профсоюзная улица, дом 12","Россия, Москва, Юго-Западный административный округ, Академический район"
199,2552,"город Москва, Профсоюзная улица, дом 103А","Россия, Москва, Юго-Западный административный округ, район Коньково, 3-4-й микрорайон района Коньково"
200,2921,"город Москва, проспект Вернадского, дом 82, строение 1","Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
